what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401336931419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401336947960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1401336947971
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1401336991303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337018003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337027546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401337028728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337031224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337032335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1401337032341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337034611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337035571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1401337035576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337037676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337038415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1401337038422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337040505
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1401337040632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337040645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337040670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337041201
executed,command,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.antShortcut.run",1401337048823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1401337073713
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1401337077830
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1401337080112
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1401337080255
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1401337080258
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1401337080510
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1401337080558
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1401337080829
