what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1402619452542
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1402619452573
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1402619452683
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1402619452808
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1402619452823
started,bundle,org.eclipse.mylyn.java.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.java.ui",1402619452839
started,bundle,org.codehaus.groovy.eclipse.codeassist.completion,2.8.0.xx-20130703-1500-e37-RELEASE,"org.codehaus.groovy.eclipse.codeassist.completion",1402619452902
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1402619453230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619460904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619462920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402619469656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402619502914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619504320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619506821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619521981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619523294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619538751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619539782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619542111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619543408
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1402619549864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402619555272
started,bundle,org.eclipse.dltk.ruby.core,3.0.0.v20110423,"org.eclipse.dltk.ruby.core",1402619557022
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1402619557132
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1402619557366
started,bundle,org.python.pydev.shared_ui,2.7.3.2013031601,"org.python.pydev.shared_ui",1402619558398
started,bundle,org.python.pydev.shared_core,2.7.3.2013031601,"org.python.pydev.shared_core",1402619558398
started,bundle,org.python.pydev.debug,2.7.3.2013031601,"org.python.pydev.debug",1402619558429
started,bundle,org.python.pydev.core,2.7.3.2013031601,"org.python.pydev.core",1402619558726
started,bundle,com.python.pydev.analysis,2.7.3.2013031601,"com.python.pydev.analysis",1402619558757
started,bundle,org.python.pydev,2.7.3.2013031601,"org.python.pydev",1402619558773
started,bundle,org.python.pydev.shared_interactive_console,2.7.3.2013031601,"org.python.pydev.shared_interactive_console",1402619559241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619563024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619566571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619571042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619703284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619718492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619764552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619766521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619776446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619777180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619793575
started,bundle,org.eclipse.mylyn.java.tasks,3.8.3.v20130107-0100,"org.eclipse.mylyn.java.tasks",1402619797592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402619797655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619797733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619824912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402619825505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620192173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620228307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620233636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620266050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620269464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620304892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620305783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620306111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620312518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402620324614
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1402620324833
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1402620324849
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1402620325005
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1402620325021
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1402620325068
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1402620325083
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1402620325083
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1402620325146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402620327146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402620329803
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1402620332194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620332960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620335304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620335351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620337726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402620342593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620343218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620344440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620344877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620347768
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1402620348690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620349347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620351097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620351159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620392167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620393433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620395880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620397849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402620404145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402629615747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402629618607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402630827527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402630830981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402632482369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402632487417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402632497841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402632504498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402632513031
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402632559570
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1402632592154
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1402632592466
